listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade
MHF2105,Itapema-Canto_Praia-apartamento-TOP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",2,17,5180.67,17,2947.0,2025-11,0.9286,0.4478,26,30,288.5,197.0,2,2025-11-11,1.76,577.0,-2233.67,ok
RAL0303,Florianopolis-Ingleses_Centro-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,390,2962.06,24,2370.27,2025-11,0.4,0.316,12,30,278.25,183.25,8,2025-11-11,1.25,0.0,-591.79,ok
RCB405,Itapema-Meia_Praia-Sul-apartamento-JR-3Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",5,491,3154.16,21,2014.63,2025-11,0.72,0.3539,18,30,221.17,131.86,7,2025-11-11,1.57,1105.85,-1139.5299999999997,ok
RCP202,Florianopolis-Canasvieiras_Meio-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,759,2785.22,18,2836.34,2025-11,0.4333,0.3185,13,30,280.31,238.67,12,2025-11-11,0.98,0.0,51.120000000000346,berlinda
SMO0202,Balneario_Picarras-Geral-apartamento-SUP-2Q,Carteira 6,SC,"Balneário Piçarras, SC","Balneário Piçarras, SC, Centro",0,64,1830.75,66,1594.17,2025-11,0.4667,0.2526,14,30,159.29,116.8,10,2025-11-11,1.15,0.0,-236.57999999999993,ok
SOT0201,Florianopolis-Jurere_Tradicional-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",4,32,2717.84,18,6829.73,2025-11,0.4231,0.605,11,30,297.91,353.75,12,2025-11-11,0.4,1191.64,4111.889999999999,crítico
VEL0102,Guarapari-Centro-apartamento-JR-2Q,Carteira 4,ES,"Guarapari, ES","Guarapari, ES, Centro",0,227,1434.58,12,1278.66,2025-11,0.3,0.2639,9,30,178.33,186.56,16,2025-11-11,1.12,0.0,-155.91999999999985,ok
VLE001,Bombinhas-Mariscal-apartamento-JR-2Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Mariscal",0,1494,1683.36,34,2440.91,2025-11,0.2667,0.3343,8,30,204.75,198.0,11,2025-11-11,0.69,0.0,757.55,atenção
VLE002,Bombinhas-Mariscal-apartamento-JR-2Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Mariscal",0,1494,2576.97,34,2440.91,2025-11,0.3667,0.3343,11,30,258.82,198.0,8,2025-11-11,1.06,0.0,-136.05999999999995,berlinda
VLR802,Florianopolis-Centrao-apartamento-JR-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",0,1221,2263.65,71,2585.44,2025-11,0.4667,0.4921,14,30,205.86,172.79,14,2025-11-11,0.88,0.0,321.78999999999996,berlinda
ALU0123,Sao_Paulo-Liberdade-apartamento-JR-2Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Cambuci",25,362,0.0,13,3360.63,2025-11,0.0,0.6017,0,30,0.0,215.8,5,2025-11-11,0.0,0.0,3360.63,crítico
DPR0006,Balneario_Camboriu-Sul-apartamento-JR-1Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Barra",6,235,1781.27,33,2053.56,2025-11,0.7083,0.4673,17,30,124.47,114.71,7,2025-11-11,0.87,746.8199999999999,272.28999999999996,berlinda
EPK0903,Guara-Geral-apartamento-MASTER-2Q,Especial,DF,"Brasília, DF","Brasília, DF, Zona Indistrial",1,179,6807.88,10,5222.95,2025-11,0.7586,0.53,22,30,386.23,420.43,7,2025-11-11,1.3,386.23,-1584.9300000000003,ok
ETY0024,Balneario_Camboriu-Centro-apartamento-JR-3Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",7,323,4540.42,37,4704.2,2025-11,0.7391,0.4463,17,30,324.88,147.5,4,2025-11-11,0.97,2274.16,163.77999999999975,berlinda
IFT0903,Itapema-Meia_Praia-Norte-apartamento-TOP-1Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",0,4,2729.22,22,3277.09,2025-11,0.6667,0.375,20,30,189.45,183.44,9,2025-11-11,0.83,0.0,547.8700000000003,berlinda
ILC2201,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",29,1492,863.65,30,11132.4,2025-11,1.0,0.6976,1,30,1026.0,,0,2025-11-11,0.08,29754.0,10268.75,crítico
ILC2415,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",2,827,10921.71,30,11132.4,2025-11,0.6786,0.6976,19,30,672.4,587.0,2,2025-11-11,0.98,1344.8,210.6900000000005,berlinda
