listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade,dias_disponiveis,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,faixa_prioridade,status_operacional,score_risco_bruto
JMA011,Florianopolis-Jurere_Longe-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,487,1929.52,39,1965.96,2025-11,0.4667,0.455,14,30,182.86,151.36,14,2025-11-11,0.98,0.0,36.440000000000055,berlinda,14,1.0,4048.56,2918.475968,2.8055293088363995,6.045340050377834,Baixa,🟢 Abaixo viável,
LIV1712,Salvador-Graca-apartamento-TOP-1Q,Especial,BA,"Salvador, BA","Salvador, BA, Vitória",2,46,3056.73,15,3581.56,2025-11,0.4643,0.5526,13,30,282.77,320.0,15,2025-11-11,0.85,565.54,524.8299999999999,berlinda,15,2.0,7856.73,5285.37,23.445872748187934,89.67254408060454,Crítico,🟢 Abaixo viável,
OKA206,Florianopolis-Campeche-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",17,35,2934.91,24,3140.19,2025-11,1.0,0.4683,13,30,272.08,,0,2025-11-11,0.93,4625.36,205.2800000000002,berlinda,0,0.0,,,,,Baixa,🔴 Abaixo inviável,
RFA303,Porto_Alegre-Santana-apartamento-SUP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Santo Antônio",0,423,1250.08,67,1557.2,2025-11,0.3333,0.3515,10,30,152.8,135.25,16,2025-11-11,0.8,0.0,307.1200000000001,berlinda,16,3.0,3414.08,1971.3411999999998,8.891596027057114,45.08816120906801,Média,🟢 Abaixo viável,
RRI103,Florianopolis-Centrao-apartamento-TOP-2Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",7,761,5391.27,23,5812.25,2025-11,0.7391,0.4569,17,30,385.65,256.0,4,2025-11-11,0.93,2699.5499999999997,420.97999999999956,berlinda,4,2.0,6415.27,6148.1084,9.271012086541347,47.858942065491185,Média,🟢 Abaixo viável,
STW0702,Itapema-Praia_Itapema-apartamento-SUP-2Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Morretes",0,12,2598.96,15,3124.13,2025-11,0.6333,0.5139,19,30,166.5,137.0,10,2025-11-11,0.83,0.0,525.1700000000001,berlinda,10,4.0,3968.96,3466.581,5.757466078556272,21.91435768261965,Média,🟢 Abaixo viável,
VRN302,Florianopolis-Jurere_Tradicional-apartamento-TOP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",4,653,8010.14,20,8875.07,2025-11,0.7692,0.5432,20,30,545.1,530.33,6,2025-11-11,0.9,2180.4,864.9299999999994,berlinda,6,2.0,11192.12,10457.719016000001,25.841955438097937,92.44332493702771,Crítico,🟢 Abaixo viável,
SJS0004,Florianopolis-Ingleses_Centro-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,317,2469.21,14,2707.95,2025-11,0.7333,0.5707,22,30,145.5,147.0,8,2025-11-11,0.91,0.0,238.73999999999978,berlinda,8,2.0,3645.21,3331.5708,6.4799534703373345,26.952141057934508,Média,🟢 Abaixo viável,
SKL1107,Penha-Praia-apartamento-SUP-3Q,Carteira 6,SC,"Penha, SC","Penha, SC, Armação",0,37,4097.46,22,4285.71,2025-11,0.5,0.3482,15,30,322.93,180.0,4,2025-11-11,0.96,0.0,188.25,berlinda,4,2.0,4817.46,4457.46,3.9532539532539532,10.075566750629724,Baixa,🟢 Abaixo viável,
UPP0408,Curitiba-Centro-apartamento-JR-1Q,Carteira 4,PR,"Curitiba, PR","Curitiba, PR, Alto da XV",0,10,1817.79,282,1884.7,2025-11,0.5333,0.5093,16,30,140.63,137.64,14,2025-11-11,0.96,0.0,66.91000000000008,berlinda,14,1.0,3744.75,2845.437768,4.8864500451000215,14.609571788413097,Baixa,🟢 Abaixo viável,
