listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,dias_pmin,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade
RFM0024,Santa_Cruz_Cabralia-Coroa_Vermelha-apartamento-SUP-2Q,Carteira 2,BA,"Santa Cruz Cabrália, BA","Santa Cruz Cabrália, BA, Coroa Vermelha",0,282,1671.52,51,3298.0,2025-11,0.3667,0.5248,11,30,200.82,166.0,1,0,2025-11-24,0.51,0.0,1626.48,atenção
SDR0003,Florianopolis-Lagoa-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Lagoa da Conceição",0,298,2278.64,27,3747.01,2025-11,0.5667,0.7398,17,30,165.88,199.67,3,0,2025-11-24,0.61,0.0,1468.3700000000003,atenção
SFR0511,Bombinhas-Centro-apartamento-SUP-1Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Centro",0,37,4177.07,35,3520.7,2025-11,0.9,0.6125,27,30,191.22,184.0,1,0,2025-11-24,1.19,0.0,-656.3699999999999,ok
VLD1002,Balneario_Camboriu-Centro-apartamento-MASTER-3Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",5,569,6467.81,20,12584.37,2025-11,0.28,0.6876,7,30,1091.0,1091.0,2,30,2025-11-24,0.51,5455.0,6116.56,atenção
ZIO0201,Florianopolis-Ingleses_Praia-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses Norte",0,99,1758.62,35,2337.26,2025-11,0.3,0.5119,9,30,212.0,167.83,6,0,2025-11-24,0.75,0.0,578.6400000000003,atenção
AYR0202,Florianopolis-Canasvieiras_Perto-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,297,4879.48,26,4627.36,2025-11,0.6333,0.5521,19,30,316.0,246.0,3,0,2025-11-24,1.05,0.0,-252.1199999999999,berlinda
BDS0111,Bombinhas-Centro-apartamento-JR-2Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Centro",1,12,3717.84,57,1557.2,2025-11,0.8276,0.2626,24,30,200.88,,0,0,2025-11-24,2.39,200.88,-2160.6400000000003,meta_subestimada
BPM1309,Salvador-Barra-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",0,571,4602.14,212,4248.24,2025-11,0.9333,0.7112,28,30,226.82,130.0,1,0,2025-11-24,1.08,0.0,-353.90000000000055,berlinda
CCL0004,Camaçari-Jacuipe-casa-SUP-5Q,Carteira 2,BA,"Camaçari, BA","Camaçari, BA, Barra de Jacuípe",0,143,0.0,8,6107.14,2025-11,0.0,0.3825,0,30,0.0,1000.0,6,30,2025-11-24,0.0,0.0,6107.14,crítico
CNB012,Especial-CNB-casa-TOP-1Q,Especial,SP,"Campos do Jordão, SP","Campos do Jordão, SP, Jardim Europa",0,591,7728.13,18,5690.11,2025-11,0.3333,0.6166,10,30,736.38,333.33,3,8,2025-11-24,1.36,0.0,-2038.0200000000004,ok
EPO001,Itapema-Praia_Centro-apartamento-SUP-3Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Castelo Branco",7,598,3766.5,20,2259.89,2025-11,0.8261,0.3489,19,30,257.05,130.0,2,0,2025-11-24,1.67,1799.3500000000001,-1506.6100000000001,ok
ETC0028,Florianopolis-Centrao-apartamento-SUP-3Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",0,180,7525.87,20,5387.31,2025-11,0.6667,0.5773,20,30,434.0,215.5,2,0,2025-11-24,1.4,0.0,-2138.5599999999995,ok
ETE0304,Maceio-Ponta_Verde-apartamento-TOP-1Q,Carteira 2,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,522,4347.25,126,4914.91,2025-11,0.7667,0.7641,23,30,272.48,216.0,5,0,2025-11-24,0.88,0.0,567.6599999999999,berlinda
IDF105,Florianopolis-Canasvieiras_Perto-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,772,4529.03,37,3013.67,2025-11,0.8667,0.5637,26,30,209.73,,0,0,2025-11-24,1.5,0.0,-1515.3599999999997,ok
IVT1301,Itapema-Meia_Praia-Norte-apartamento-SUP-3Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Andorinha",13,701,3948.9,46,2624.86,2025-11,0.7647,0.3796,13,30,364.31,,0,0,2025-11-24,1.5,4736.03,-1324.04,ok
JBN0043,Sao_Paulo-Brooklin-apartamento-SUP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Brooklin",0,316,4126.34,299,4501.61,2025-11,0.7667,0.7158,23,30,211.22,155.5,2,0,2025-11-24,0.92,0.0,375.2699999999995,berlinda
MHF1409,Itapema-Canto_Praia-apartamento-TOP-2Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",4,444,2244.15,14,3147.32,2025-11,0.3077,0.4145,8,30,314.0,260.25,4,0,2025-11-24,0.71,1256.0,903.1700000000001,atenção
MHF1507,Itapema-Canto_Praia-apartamento-TOP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",0,207,4565.32,19,3496.4,2025-11,0.7333,0.5702,22,30,223.04,200.0,1,0,2025-11-24,1.31,0.0,-1068.9199999999996,ok
