listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,grupo_criticidade
TPS106,Florianopolis-Canasvieiras_Meio-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",2,986,3690.8,23,2723.4,2025-10,0.8966,0.4492,26,31,172.23,169.0,3,2025-10-06,1.36,ok
VNVA0801,Itapema-Praia_Centro-apartamento-TOP-2Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Tabuleiro dos Oliveiras",3,133,1747.2,17,3385.55,2025-10,0.5,0.234,14,31,165.21,176.25,12,2025-10-06,0.52,atenção
ZAH0811,Sao_Paulo-Bela_Vista-apartamento-TOP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Paraíso",0,89,5133.59,200,2559.86,2025-10,0.6774,0.3936,21,31,290.0,272.6,10,2025-10-06,2.01,meta_subestimada
DOJ0690,Campos_do_Jordao-Capivari_Centro-casa-JR-3Q,Carteira 4,SP,"Campos do Jordão, SP","Campos do Jordão, SP, Água Santa",1,54,809.37,29,3282.77,2025-10,0.1,0.2196,3,31,352.67,304.12,24,2025-10-06,0.25,crítico
ETE0308,Maceio-Ponta_Verde-apartamento-SUP-1Q,Carteira 2,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,364,5171.15,105,3386.4,2025-10,0.8065,0.5113,25,31,251.15,181.0,4,2025-10-06,1.53,ok
GDP0107,Brasilia-Asa_Sul-apartamento-SUP-1Q,Carteira 1,DF,"Brasília, DF","Brasília, DF, Asa Sul",0,614,2826.82,110,2522.42,2025-10,0.5161,0.4739,16,31,217.22,239.82,11,2025-10-06,1.12,ok
HAL103,Florianopolis-Novo_Campeche-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",0,789,3608.72,38,4453.03,2025-10,0.5484,0.4101,17,31,274.88,267.85,13,2025-10-06,0.81,berlinda
IFT1003,Itapema-Meia_Praia-Norte-apartamento-TOP-1Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",0,140,2872.32,24,2235.56,2025-10,0.4839,0.2856,15,31,211.5,171.93,14,2025-10-06,1.28,ok
MHF1903,Itapema-Canto_Praia-apartamento-TOP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",0,449,2353.2,8,2301.25,2025-10,0.3871,0.3219,12,31,220.0,220.0,10,2025-10-06,1.02,berlinda
NBL0911,Porto_Alegre-Jardim_Botanico-apartamento-SUP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Santa Cecília",0,671,0.0,44,1267.78,2025-10,0.0,0.2528,0,31,,139.4,25,2025-10-06,0.0,crítico
NWT1011,Especial-NWT-apartamento-MASTER-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",1,146,9019.84,23,6021.4,2025-10,0.7667,0.6294,23,31,510.74,491.29,7,2025-10-06,1.5,ok
OBS0101,Itapema-Meia_Praia-Sul-apartamento-JR-2Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",0,92,2824.09,10,1504.03,2025-10,0.6452,0.3261,20,31,187.8,126.11,9,2025-10-06,1.88,ok
OGD0401,Florianopolis-Beira_Mar-apartamento-SUP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",0,217,2840.69,14,2646.76,2025-10,0.5484,0.2797,17,31,192.0,209.6,10,2025-10-06,1.07,berlinda
OKA216,Florianopolis-Campeche-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",0,698,2402.68,18,1754.28,2025-10,0.4839,0.3095,15,31,193.13,204.93,15,2025-10-06,1.37,ok
PSOA0607,Penha-Beto_Carrero-apartamento-SUP-1Q,Carteira 3,SC,"Penha, SC","Penha, SC, Praia de Armação do Itapocoroi",0,62,2029.06,13,1489.07,2025-10,0.4839,0.4061,15,31,151.76,159.36,11,2025-10-06,1.36,ok
RFM0005,Santa_Cruz_Cabralia-Coroa_Vermelha-apartamento-SUP-2Q,Carteira 2,BA,"Santa Cruz Cabrália, BA","Santa Cruz Cabrália, BA, Coroa Vermelha",0,55,2179.98,34,2943.99,2025-10,0.3871,0.4113,12,31,236.83,314.53,19,2025-10-06,0.74,atenção
RMI0007,Florianopolis-Ingleses_Praia-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",1,649,1722.6,31,2462.88,2025-10,0.4667,0.2515,14,31,154.29,199.5,16,2025-10-06,0.7,atenção
RUP0805,Blumenau-Central-apartamento-SUP-1Q,Carteira 4,SC,"Blumenau, SC","Blumenau, SC, Escola Agrícola",0,371,7152.58,69,6919.81,2025-10,0.4516,0.4574,14,31,610.93,247.91,11,2025-10-06,1.03,berlinda
SFR0401,Bombinhas-Centro-apartamento-TOP-1Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Centro",0,6,1492.13,118,2133.41,2025-10,0.1613,0.2461,5,31,131.83,155.77,13,2025-10-06,0.7,atenção
SHC1103,Balneario_Picarras-Geral-apartamento-TOP-2Q,Carteira 6,SC,"Balneário Piçarras, SC","Balneário Piçarras, SC, Itacolomi",1,289,4408.57,32,1460.72,2025-10,0.8333,0.1712,25,31,228.38,201.0,1,2025-10-06,3.02,meta_subestimada
SPJ0106,Especial-SPJ-apartamento-TOP-1Q,Carteira 5,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,279,4572.24,14,2892.38,2025-10,0.8387,0.3764,26,31,212.0,178.75,4,2025-10-06,1.58,ok
SPJ0202,Especial-SPJ-apartamento-TOP-1Q,Carteira 5,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,485,5052.32,14,2892.38,2025-10,0.8387,0.3764,26,31,246.69,172.0,4,2025-10-06,1.75,ok
SPJ0402,Especial-SPJ-apartamento-TOP-1Q,Carteira 5,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,354,4334.4,14,2892.38,2025-10,0.8065,0.3764,25,31,212.48,186.17,6,2025-10-06,1.5,ok
SVS0219,Brasilia-Asa_Sul-apartamento-SUP-1Q,Carteira 1,DF,"Brasília, DF","Brasília, DF, Setor Sudoeste",0,191,962.38,110,2522.42,2025-10,0.1935,0.4739,6,31,190.0,217.0,21,2025-10-06,0.38,crítico
VDI208,Florianopolis-Jurere_Longe-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",22,1952,2489.67,14,2542.7,2025-10,1.0,0.2638,9,31,297.78,,0,2025-10-06,0.98,berlinda
ZNB1304,Salvador-Barra-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",0,141,2006.92,184,2585.81,2025-10,0.4839,0.3877,15,31,161.73,146.33,15,2025-10-06,0.78,atenção
BPM0807,Salvador-Barra-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",0,579,2644.09,184,2585.81,2025-10,0.5484,0.3877,17,31,186.18,157.83,12,2025-10-06,1.02,berlinda
