listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade,dias_disponiveis,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,faixa_prioridade,status_operacional
NWT1217,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",10,119,3801.63,26,4604.77,2025-10,0.619,0.5984,13,31,325.38,283.4,5,2025-10-13,0.83,3253.8,803.1400000000003,berlinda,5,3.0,5218.63,4678.753,16.47638398153799,85.57504873294347,Crítico,🟢 Abaixo viável
SBA0401,Maceio-Jatiuca-apartamento-JR-3Q,Carteira 2,AL,"Maceió, AL","Maceió, AL, Jatiúca",9,607,3470.46,17,4321.23,2025-10,0.7273,0.5996,16,31,321.13,153.0,1,2025-10-13,0.8,2890.17,850.7699999999995,berlinda,1,6.0,3623.46,3581.7369,5.020476808686413,38.20662768031189,Média,🟠 Abaixo precisa esforço
SCO0005,Florianopolis-Campeche-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",0,96,1446.56,15,1386.39,2025-10,0.4516,0.2928,14,31,152.79,132.73,15,2025-10-13,1.04,0.0,-60.169999999999845,berlinda,15,-0.0,3437.5099999999998,2345.6730199999997,-5.760546527311924,15.594541910331383,Baixa,🟡 Acima com risco
SPJ0502,Especial-SPJ-apartamento-TOP-1Q,Carteira 5,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,352,4110.15,16,3790.01,2025-10,0.6774,0.4946,21,31,219.54,204.57,7,2025-10-13,1.08,0.0,-320.1399999999994,berlinda,7,-1.0,5542.139999999999,5080.180026,17.27991213743496,88.30409356725146,Crítico,🟡 Acima com risco
VLR301,Florianopolis-Centrao-apartamento-SUP-1Q,Carteira 5,SC,"Florianópolis, SC","Florianópolis, SC, Centro",0,957,2740.28,104,3290.36,2025-10,0.6774,0.4272,21,31,153.19,152.67,9,2025-10-13,0.83,0.0,550.0799999999999,berlinda,9,4.0,4114.31,3671.047922,6.380814986809954,44.639376218323584,Média,🟢 Abaixo viável
DAL207,Canela-Geral-apartamento-SUP-2Q,Carteira 4,RS,"Canela, RS","Canela, RS, São José",2,189,2413.82,15,2940.57,2025-10,0.4138,0.2449,12,31,238.92,208.4,10,2025-10-13,0.82,477.84,526.75,berlinda,10,3.0,4497.82,3276.1792,12.44369855730918,73.48927875243665,Alta,🟢 Abaixo viável
IAA1002,Recife-Boa_Viagem-apartamento-TOP-1Q,Carteira 2,PE,"Recife, PE","Recife, PE, Boa Viagem",2,567,3614.87,52,4056.99,2025-10,0.6552,0.5997,19,31,233.79,197.0,8,2025-10-13,0.89,467.58,442.1199999999999,berlinda,8,3.0,5190.87,4647.4652,7.156179006274765,47.953216374269005,Média,🟢 Abaixo viável
MHF1807,Itapema-Canto_Praia-apartamento-TOP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",5,288,2629.22,14,2821.64,2025-10,0.6923,0.4442,18,31,170.83,171.0,3,2025-10-13,0.93,854.1500000000001,192.42000000000007,berlinda,3,2.0,3142.22,2984.3698999999997,5.830619781403724,42.30019493177387,Média,🟢 Abaixo viável
PRY0002,Porto_Seguro-Pataxos-apartamento-SUP-2Q,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Taperapuã",1,12,4295.13,25,3972.05,2025-10,0.7,0.4986,21,31,267.05,192.29,7,2025-10-13,1.08,267.05,-323.0799999999999,berlinda,7,-1.0,5641.16,5237.351,15.640551654687119,84.60038986354775,Crítico,🟡 Acima com risco
SOA0205,Salvador-Boca_do_Rio-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Boca do Rio",5,348,1908.65,22,1755.87,2025-10,0.6923,0.4578,18,31,146.67,113.25,4,2025-10-13,1.09,733.3499999999999,-152.7800000000002,berlinda,4,-1.0,2361.65,2222.2619,9.853995455244423,62.768031189083814,Alta,🟡 Acima com risco
