listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,grupo_criticidade,dias_disponiveis,falta_meta,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,faixa_prioridade,status_operacional
ZUC0703,Balneario_Camboriu-Longe-apartamento-SUP-2Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Nações",0,134,2964.0,11,3142.14,2025-10,0.5484,0.2844,17,31,256.06,320.0,12,2025-10-07,0.94,berlinda,12,178.13999999999987,1.0,6804.0,5069.856,18.142030590616574,82.75862068965517,Crítico,🟢 Abaixo viável
ELU0211,Florianopolis-Jurere_Tradicional-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",1,43,4063.77,17,4453.11,2025-10,0.7667,0.3745,23,31,192.87,255.29,7,2025-10-07,0.91,berlinda,7,389.3399999999997,2.0,5850.8,5433.885901,11.160133996240821,57.701149425287355,Alta,🟢 Abaixo viável
NWT0502,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",13,334,3610.15,30,4057.04,2025-10,0.7778,0.5207,14,31,326.71,280.0,1,2025-10-07,0.89,berlinda,1,446.8899999999999,2.0,3890.15,3827.934,15.421243073768062,76.55172413793103,Alta,🟠 Abaixo precisa esforço
RGP208,Florianopolis-Jurere_Tradicional-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,1453,1964.42,15,2135.2,2025-10,0.4516,0.258,14,31,164.29,196.18,11,2025-10-07,0.92,berlinda,11,170.77999999999975,1.0,4122.4,2938.963768,15.691092356687873,77.24137931034483,Alta,🟢 Abaixo viável
VST016,Especial-VST-casa-TOP-1Q,Carteira 5,SC,"Anitápolis, SC","Anitápolis, SC, Rio dos pinheiros",0,92,1271.76,32,1199.53,2025-10,0.1935,0.0877,6,31,275.0,206.15,20,2025-10-07,1.06,berlinda,20,-72.23000000000002,-0.0,5394.76,2069.5605,-12.413373988145361,8.505747126436782,Baixa,🟢 Acima com folga
MHF0807,Itapema-Canto_Praia-apartamento-TOP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",7,341,1880.18,8,2301.25,2025-10,0.5417,0.3219,13,31,181.85,183.56,9,2025-10-07,0.82,berlinda,9,421.06999999999994,3.0,3532.2200000000003,2775.090068,11.195597928661957,58.160919540229884,Alta,🟢 Abaixo viável
NWT1012,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,154,4017.57,30,4057.04,2025-10,0.5161,0.5207,16,31,341.0,350.36,11,2025-10-07,0.99,berlinda,11,39.4699999999998,1.0,7871.530000000001,6006.598756,3.4085710764498085,29.88505747126437,Média,🟢 Abaixo viável
OBP0602,Penha-Beto_Carrero-apartamento-TOP-2Q,Carteira 3,SC,"Penha, SC","Penha, SC, Armação",0,28,2391.63,36,2823.1,2025-10,0.4516,0.2878,14,31,215.14,228.71,17,2025-10-07,0.85,berlinda,17,431.4699999999998,2.0,6279.700000000001,4147.482412,17.47750765116361,81.14942528735632,Crítico,🟢 Abaixo viável
TAN0000,Imbituba-Ibiraquera-casa-JR-2Q,Carteira 6,SC,"Imbituba, SC","Imbituba, SC, Ibiraquera",17,196,1017.96,8,1263.28,2025-10,0.5,0.0915,7,31,160.0,160.0,4,2025-10-07,0.81,berlinda,4,245.31999999999994,2.0,1657.96,1337.96,15.53543157494775,76.7816091954023,Alta,🟢 Abaixo viável
BLB1306,Salvador-Barra-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",1,397,2550.27,184,2585.81,2025-10,0.5667,0.3877,17,31,190.29,159.11,9,2025-10-07,0.99,berlinda,9,35.539999999999964,1.0,3982.26,3361.778733,2.186846442700738,28.27586206896552,Média,🟢 Abaixo viável
EDE,Florianopolis-Cachoeira_Bom_Jesus-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus",0,250,1946.37,8,2365.0,2025-10,0.4516,0.1791,14,31,158.3,162.5,8,2025-10-07,0.82,berlinda,8,418.6300000000001,3.0,3246.37,2533.45,9.588072586328403,51.49425287356322,Alta,🟢 Abaixo viável
GRI1506,Itapema-Praia_Itapema-apartamento-TOP-2Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Morretes",0,22,3195.6,15,3385.55,2025-10,0.5161,0.2893,16,31,174.6,181.17,6,2025-10-07,0.94,berlinda,6,189.95000000000027,2.0,4282.62,3756.611022,5.082370885085148,33.793103448275865,Média,🟢 Abaixo viável
ILC2412,Especial-ILC-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",7,1940,5123.64,16,5851.91,2025-10,0.5833,0.4525,14,31,437.94,403.71,7,2025-10-07,0.88,berlinda,7,728.2699999999995,2.0,7949.610000000001,6772.028301,25.120847868473696,92.41379310344827,Crítico,🟢 Abaixo viável
JBV141,Especial-JBV-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,1518,6546.78,30,7567.62,2025-10,0.5484,0.5968,17,31,1971.21,386.55,11,2025-10-07,0.87,berlinda,11,1020.8400000000001,3.0,10798.83,8878.60422,17.381321207988776,80.91954022988506,Crítico,🟢 Abaixo viável
VEL0102,Guarapari-Centro-apartamento-JR-2Q,Carteira 4,ES,"Guarapari, ES","Guarapari, ES, Centro",0,196,1979.7,12,1830.93,2025-10,0.4516,0.2505,14,31,167.4,151.93,15,2025-10-07,1.08,berlinda,15,-148.76999999999998,-0.0,4258.650000000001,3008.87382,-12.344888171584934,8.735632183908045,Baixa,🟢 Acima com folga
CNB011,Especial-CNB-casa-TOP-1Q,Especial,SP,"Campos do Jordão, SP","Campos do Jordão, SP, Jardim Europa",0,560,3282.41,15,3941.66,2025-10,0.0968,0.3888,3,31,728.0,587.68,22,2025-10-07,0.83,berlinda,22,659.25,2.0,16211.369999999999,4533.933327999999,49.145289040658,98.62068965517241,Crítico,🟢 Abaixo viável
LGR204,Florianopolis-Ingleses_Centro-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,1013,1545.55,18,1424.84,2025-10,0.5161,0.3457,16,31,119.19,113.27,11,2025-10-07,1.08,berlinda,11,-120.71000000000004,-1.0,2791.52,2188.595117,9.596040046601727,51.95402298850574,Alta,🟢 Acima com folga
MRE1101,Porto_Belo-Geral-apartamento-SUP-2Q,Carteira 6,SC,"Porto Belo, SC","Porto Belo, SC, Pereque",1,196,2258.86,17,2627.78,2025-10,0.5333,0.2051,16,31,170.88,148.07,14,2025-10-07,0.86,berlinda,14,368.9200000000001,3.0,4331.84,3364.380234,6.929294486854556,37.93103448275862,Média,🟢 Abaixo viável
NWT0706,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,154,3495.49,30,4057.04,2025-10,0.5484,0.5207,17,31,286.12,285.27,11,2025-10-07,0.86,berlinda,11,561.5500000000002,2.0,6633.459999999999,5216.352747999999,19.742641001814135,85.51724137931035,Crítico,🟢 Abaixo viável
NWT0906,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,190,4259.46,30,4057.04,2025-10,0.6129,0.5207,19,31,256.95,315.92,12,2025-10-07,1.05,berlinda,12,-202.42000000000007,-0.0,8050.5,6582.988416,-15.76236034152979,5.747126436781609,Baixa,🟢 Acima com folga
NWT1021,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,168,4299.95,30,4057.04,2025-10,0.5161,0.5207,16,31,369.25,282.13,8,2025-10-07,1.06,berlinda,8,-242.90999999999985,-0.0,6556.99,5464.808344,-16.89216726973359,5.517241379310345,Baixa,🟢 Acima com folga
RSR0812,Maceio-Cruz_das_Almas-apartamento-MASTER-1Q,Carteira 2,AL,"Maceió, AL","Maceió, AL, Cruz das Almas",0,343,4749.19,61,5566.99,2025-10,0.7419,0.6349,23,31,279.35,259.88,8,2025-10-07,0.85,berlinda,8,817.8000000000002,4.0,6828.23,6291.629776,9.544200007544474,51.26436781609195,Alta,🟢 Abaixo viável
CBU203,Florianopolis-Novo_Campeche-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",4,364,2922.14,22,3210.45,2025-10,0.6296,0.2549,17,31,220.06,236.0,8,2025-10-07,0.91,berlinda,8,288.30999999999995,2.0,4810.139999999999,4110.8248,10.596825990125991,55.632183908045974,Alta,🟢 Abaixo viável
