listing,group_name,num_listing_blocked,n_days_status,listing_fat,n_competitors,meta_value,year_month,to_listings,to_competitors,days_occupied,total_days
POR0101,Florianopolis-Ingleses_Norte-apartamento-SUP-4Q,7,301,4212.94,16,3315.54,2025-09,0.7826,0.521,18,30
PSO0603,Penha-Beto_Carrero-apartamento-SUP-1Q,1,31,3138.75,20,1865.2,2025-09,0.9655,0.5162,28,30
PSO1005,Penha-Beto_Carrero-apartamento-SUP-1Q,3,49,2230.14,20,1865.2,2025-09,0.7037,0.5162,19,30
RVC0703,Itajai-Praia_Brava-apartamento-TOP-2Q,0,213,3464.32,15,2490.55,2025-09,0.5333,0.458,16,30
SHC1106,Balneario_Picarras-Geral-apartamento-TOP-3Q,0,360,1882.05,16,2552.06,2025-09,0.3,0.2535,9,30
SPA309,Florianopolis-UFSC-apartamento-SUP-1Q,0,706,2546.62,41,2601.66,2025-09,0.8333,0.5824,25,30
SPJ0401,Especial-SPJ-apartamento-TOP-1Q,0,323,3522.04,15,3792.7,2025-09,0.8667,0.4818,26,30
STCY102,Florianopolis-Cachoeira_Bom_Jesus-apartamento-JR-1Q,0,501,508.12,9,759.13,2025-09,0.2333,0.2172,7,30
TML501,Guarapari-Praia_do_Morro-apartamento-JR-3Q,0,549,0.0,32,2043.5,2025-09,0.0,0.4254,0,30
VST023,Especial-VST-casa-TOP-1Q,2,732,4507.69,35,2529.48,2025-09,0.7143,0.1819,20,30
AMC0202,Florianopolis-Ingleses_Praia-apartamento-JR-1Q,0,440,1996.72,22,1146.89,2025-09,0.8,0.4412,24,30
BLSA1455,Goiania-Central-apartamento-TOP-1Q,0,395,3704.04,48,2731.56,2025-09,0.8333,0.5615,25,30
CAG0003,Camaçari-Monte_Gordo-casa-SUP-4Q,6,63,3598.01,11,4620.6,2025-09,0.4583,0.4344,11,30
CEV2304,Balneario_Camboriu-Intermediario-apartamento-JR-1Q,0,245,2584.06,49,1927.04,2025-09,0.9333,0.4721,28,30
CII0601,Porto_Belo-Geral-apartamento-SUP-2Q,0,374,2737.36,16,1604.5,2025-09,0.7333,0.2647,22,30
CNB005,Especial-CNB-casa-TOP-1Q,1,535,6302.12,14,5600.08,2025-09,0.4138,0.6068,12,30
DSG1301,Sao_Paulo-Vila_Olimpia-apartamento-SUP-1Q,0,130,6675.85,278,5866.75,2025-09,0.9,0.7121,27,30
ILC3208,Especial-ILC-hotel-TOP-1Q,0,1397,5457.05,27,7153.6,2025-09,0.6333,0.7981,19,30
JBV214,Especial-JBV-hotel-JR-1Q,0,984,5446.29,25,4134.37,2025-09,0.9,0.5455,27,30
JBV462,Especial-JBV-hotel-TOP-1Q,3,1315,9560.95,31,7153.6,2025-09,0.5926,0.7461,16,30
JPR212,Florianopolis-Jurere_Tradicional-apartamento-MASTER-1Q,0,1217,4676.94,16,5717.84,2025-09,0.6,0.4958,18,30
LVR010,Campos_do_Jordao-Capivari_Centro-apartamento-SUP-2Q,3,880,2334.43,38,3404.67,2025-09,0.2222,0.2884,6,30
MHF0704,Itapema-Canto_Praia-apartamento-TOP-1Q,0,410,3092.98,14,993.99,2025-09,0.8333,0.3113,25,30
MHFB0507,Itapema-Canto_Praia-apartamento-SUP-1Q,0,396,1574.81,12,1214.13,2025-09,0.4667,0.3234,14,30
MPL0215,Brasilia-Asa_Norte-apartamento-SUP-1Q,1,208,3057.47,100,3470.11,2025-09,0.7241,0.7093,21,30
NLUH0008,São_Miguel_dos_Milagres-Geral-casa-TOP-3Q,7,327,8236.77,19,8905.24,2025-09,0.6957,0.5608,16,30
NWT0803,Especial-NWT-apartamento-TOP-1Q,0,264,5218.04,34,4405.55,2025-09,0.7667,0.6132,23,30
ONJ2712,Sao_Paulo-Moema-apartamento-SUP-1Q,14,206,1594.89,569,3766.78,2025-09,0.625,0.6534,10,30
PGR1101,Porto_Alegre-Jardim_Botanico-apartamento-TOP-2Q,12,160,952.0,23,5220.84,2025-09,0.2222,0.6464,4,30
PPB0603,Goiania-Central-apartamento-SUP-2Q,2,698,4298.67,51,3338.25,2025-09,0.75,0.5224,21,30
RFM0021,Santa_Cruz_Cabralia-Coroa_Vermelha-apartamento-SUP-2Q,1,376,2170.74,23,2921.45,2025-09,0.5862,0.5633,17,30
RPC301,Florianopolis-Canasvieiras_Longe-apartamento-SUP-2Q,0,1236,2406.67,14,2947.76,2025-09,0.6333,0.4198,19,30
SCO0004,Florianopolis-Campeche-apartamento-JR-1Q,0,146,1661.56,22,1148.78,2025-09,0.6333,0.3891,19,30
SPJ0403,Especial-SPJ-apartamento-TOP-1Q,1,455,3073.24,15,3792.7,2025-09,0.8276,0.4818,24,30
SPT0101,Blumenau-Central-apartamento-JR-1Q,1,525,613.9,35,1509.6,2025-09,0.2414,0.4702,7,30
ACO1103,Balneario_Camboriu-Centro-apartamento-TOP-2Q,3,46,4121.81,26,3897.07,2025-09,0.963,0.5212,26,30
AIR1414,Porto_Alegre-Menino_Deus-apartamento-TOP-1Q,3,370,3476.35,28,2849.68,2025-09,0.5556,0.5927,15,30
BLB1306,Salvador-Barra-apartamento-SUP-1Q,1,367,2658.39,201,2862.8,2025-09,0.7241,0.5422,21,30
DMS0106,Gramado-Centro-apartamento-TOP-2Q,2,75,4906.7,58,4406.4,2025-09,0.5714,0.4483,16,30
EDE,Florianopolis-Cachoeira_Bom_Jesus-apartamento-JR-2Q,9,220,2472.51,7,1170.82,2025-09,0.9048,0.1721,19,30
ELF0303,Bombinhas-Bombas-apartamento-SUP-1Q,0,111,490.35,20,1429.7,2025-09,0.1,0.2367,3,30
