listing,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel
DBR0805,171.57,,0
DDL0206,238.55,,0
DIA0004,306.0,159.0,1
DIO0507,158.5,180.0,4
DIO1602,180.45,174.0,3
DJB2064,909.67,612.0,1
DLH0103,377.59,301.0,3
DLH0105,345.2,301.0,3
DLH0201,419.64,331.0,2
DLH0202,351.48,,0
DLH0204,360.0,286.0,1
DLH0205,334.41,286.0,1
DLH0206,269.0,202.0,3
DLH0302,387.92,256.0,2
DLH0303,344.82,331.0,3
DLH0306,273.24,213.0,1
DLH0501,451.52,315.0,1
DME025,483.75,360.0,2
DMS0104,349.0,271.0,3
DMS0106,395.88,281.25,4
DMS0107,800.0,800.0,2
DMS0203,402.13,282.0,2
DMS0304,431.96,331.0,3
DNAB1503,177.3,186.75,4
DNAG0706,189.78,198.0,1
DNAG1701,204.53,208.0,3
DNAG1702,202.39,218.33,3
DNAG2001,187.24,215.0,2
DNL0602,,,0
DOJ0690,,286.2,5
DON0504,240.42,180.0,1
DOV108,235.35,182.0,1
DPA210,177.31,,0
DPAC0116,166.52,,0
DPR0001,118.77,110.0,2
DPR0002,114.95,110.0,2
DPR0003,111.71,113.6,5
DPR0006,121.24,113.6,5
DPR0007,132.88,130.0,2
DPR0009,104.35,113.6,5
DRB0205,300.27,184.0,1
DRL0103,139.04,120.0,2
DRL0207,167.0,120.0,2
DRP1001,155.53,138.0,5
DSG1301,309.07,247.0,1
DSH1702,147.71,130.0,2
DVM0202,148.4,313.0,4
EAA805,145.05,126.0,4
EAB0201,156.48,200.0,3
EAB203,,,0
EAC1302,191.05,130.0,3
EAC1303,139.56,127.0,1
EAC1304,138.48,106.0,5
EAC403,109.89,100.0,1
EAC404,146.08,110.0,2
EAL0704,166.12,110.0,3
EAN503,242.95,130.0,1
EAR0401,224.75,207.0,1
EAR0411,394.31,,0
EAS0102,245.71,150.0,1
EATNR0205,264.94,187.0,1
EAZ305,264.43,350.0,5
EBA0401,125.0,,0
EBC0603,255.33,250.0,4
EBI0303,160.42,124.0,1
EBI0603,156.17,127.8,5
ECE104,130.29,140.4,5
ECF0306,156.36,140.0,1
ECH0503,203.36,168.0,2
ECH113,265.05,234.0,3
ECH504,255.81,234.0,3
ECI0201,126.1,,0
ECL1902,186.91,139.8,5
ECM0206,132.71,131.0,1
ECM204,154.45,,0
ECP055,138.68,,0
ECU102,135.43,,0
EDA0001,199.46,333.0,5
EDC402,254.65,199.0,2
EDE,157.58,137.0,1
EDF0503,189.11,218.0,1
EDF1501,190.37,210.8,5
EDF1605,188.47,206.5,2
EDF1707,156.8,183.0,2
EDG401,162.81,,0
EDG402,150.76,,0
EDG403,148.08,100.0,1
EDJ0410,133.94,123.0,2
EDN1001,151.07,,0
EDT0009,211.0,248.0,2
EDT0010,233.89,225.0,3
EDT0011,242.46,259.0,3
EEC0403,126.1,95.0,2
EEI0303,180.0,,0
EEP0602,128.71,,0
EEP0801,150.17,130.0,1
EEP0802,129.65,127.0,1
EEP0901,160.62,130.0,3
EEP0902,134.21,127.0,1
EEP1101,151.12,,0
EEP1102,133.28,110.0,2
EEZ0301,288.0,288.0,5
EFE0803,208.62,150.0,2
EFP0356,116.39,,0
EFR0104,187.8,162.5,4
EFR203,346.44,266.0,2
EGC001,190.25,150.0,3
EGF000,227.4,390.0,1
EGI001,410.6,351.0,1
EGP0802,250.58,,0
EHI0401,243.7,185.0,2
EHI0802,283.5,215.0,1
EHS0117,167.69,,0
EII0304,176.59,,0
EIO203,129.69,,0
EIO6031,127.83,120.0,2
EIS305,234.0,234.0,4
EIT302,162.65,,0
EJF0702,157.82,,0
EJO0305,252.25,238.25,4
EJO0401,131.25,115.0,2
EJO0402,148.6,98.0,2
EJO0403,142.56,115.0,3
EKD0397,161.59,140.0,2
EKO0008,218.0,212.0,5
ELF0303,213.0,201.0,5
ELF0304,203.0,201.0,5
ELF0310,,,0
ELF0401,192.0,183.0,2
ELF0402,213.0,194.25,4
ELF0403,216.75,201.0,5
ELF0405,208.58,183.0,1
ELF0407,201.0,183.0,1
ELF0408,201.0,183.0,3
ELF0410,205.5,183.0,3
ELF0411,128.0,,0
ELF0412,216.75,201.0,5
ELF0502,193.0,183.0,2
ELF0503,233.81,194.25,4
ELF0504,213.0,201.0,5
ELF0602,209.13,183.0,1
ELF0607,196.5,183.0,1
ELF0609,150.0,180.0,2
ELF0612,205.37,228.0,1
ELG0071,141.0,127.2,5
ELK0101,240.15,213.0,2
ELLC0000,151.87,138.0,5
ELM701,155.54,,0
ELO0207,,130.2,5
ELR0507,,147.6,5
ELS0606,103.89,100.0,5
ELU0211,184.73,160.0,1
ELU0311,246.96,,0
ELU106,194.22,,0
ELU109,183.75,195.75,4
ELU207,176.07,170.67,3
ELY0201,156.69,135.0,3
EMA0201,240.23,,0
EMA101,214.0,180.0,2
EMB686,235.0,235.0,5
EME0218,198.14,175.0,3
EMF1003,148.96,125.0,2
EMM0202,164.93,130.0,3
EMP2201,184.86,,0
EMR302,187.5,180.0,2
EMT203,156.58,,0
EMZ0504,145.29,110.0,2
ENC0307,233.24,185.0,2
ENE0218,234.33,,0
ENP0607,152.47,130.0,1
ENU011,171.06,161.0,1
EOA0803,352.47,,0
EOX0102,265.29,234.0,3
EOX0705,116.18,94.0,3
EPC025,190.0,,0
EPE0304,175.0,153.0,3
EPF202,157.5,127.0,1
EPK0302,300.96,279.0,1
EPK0402,300.33,309.5,2
EPK0802,280.48,276.0,3
EPK0903,335.28,323.0,1
EPM0803,94.9,93.5,4
EPO001,170.15,,0
EPP0602,154.11,130.0,3
ERE0302,,100.2,5
ERE418,124.33,106.0,5
ERG605,164.4,130.0,2
ERJ101,217.69,,0
ERN0503,190.0,190.0,5
ERT0210,181.93,,0
ERU032,120.57,105.0,3
ERV0101,182.06,160.0,2
ERZ0502,145.58,275.0,5
ESA0902,377.17,,0
ESA901,214.8,180.0,2
ESB0310,,355.2,5
ESD143,185.58,161.0,2
ESE0102,260.57,180.0,2
