listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,atingimento_meta,grupo_criticidade,data_atualizacao
PAD0103,Florianopolis-Beira_Mar-apartamento-SUP-2Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",0,146,4633.81,24,5226.31,2025-09,0.9333,0.685,28,30,254.16,241.2,10,0.89,berlinda,2025-09-25
PDG0202,Balneario_Picarras-Geral-apartamento-TOP-2Q,Carteira 6,SC,"Balneário Piçarras, SC","Balneário Piçarras, SC, Itacolomi",0,12,880.04,33,1157.7,2025-09,0.2667,0.1817,8,30,171.5,189.53,17,0.76,atenção,2025-09-25
PSD103,Florianopolis-Jurere_Tradicional-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,1929,1231.01,11,1703.19,2025-09,0.4667,0.3696,14,30,150.67,143.5,20,0.72,atenção,2025-09-25
RAK0331,Florianopolis-UFSC-apartamento-JR-3Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Pantanal",8,241,2395.46,10,1889.88,2025-09,0.6364,0.6169,14,30,263.27,230.89,9,1.27,ok,2025-09-25
RDS003,Campos_do_Jordao-Vila_Natal-casa-JR-1Q,Carteira 4,SP,"Campos do Jordão, SP","Campos do Jordão, SP, Vila Natal",6,570,2291.66,19,2725.1,2025-09,0.5417,0.359,13,30,,169.48,29,0.84,berlinda,2025-09-25
RFM0001,Santa_Cruz_Cabralia-Coroa_Vermelha-apartamento-JR-2Q,Carteira 2,BA,"Santa Cruz Cabrália, BA","Santa Cruz Cabrália, BA, Coroa Vermelha",0,264,2195.91,11,2345.37,2025-09,0.6333,0.4193,19,30,236.56,180.05,20,0.94,berlinda,2025-09-25
RFT505,Balneario_Camboriu-Intermediario-apartamento-JR-2Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",7,1379,2065.47,44,1717.17,2025-09,0.7826,0.462,18,30,261.35,,0,1.2,ok,2025-09-25
RGP0107,Florianopolis-Jurere_Tradicional-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,349,1878.73,11,1703.19,2025-09,0.6333,0.3696,19,30,154.06,142.85,13,1.1,ok,2025-09-25
RHE101,Bombinhas-Mariscal-casa-JR-2Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Morrinhos",0,515,1729.09,17,930.75,2025-09,0.8,0.2339,24,30,141.33,120.77,26,1.86,ok,2025-09-25
RRA0205,Florianopolis-Praia_Brava-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Praia Brava",0,375,2392.59,9,2084.7,2025-09,0.7333,0.2616,22,30,216.65,222.14,14,1.15,ok,2025-09-25
RSL0502,Itapema-Praia_Itapema-apartamento-TOP-3Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Centro",5,633,3587.7,19,2957.71,2025-09,0.88,0.4081,22,30,267.41,240.0,6,1.21,ok,2025-09-25
RUL0035,Ubatuba-Toninhas-casa-JR-3Q,Carteira 4,SP,"Ubatuba, SP","Ubatuba, SP, Toninhas",8,105,2347.73,9,1946.5,2025-09,0.5,0.2115,11,30,419.85,307.1,10,1.21,ok,2025-09-25
SLC0203,Florianopolis-Rio_Vermelho-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,255,1494.31,13,1883.24,2025-09,0.7667,0.6239,23,30,86.0,87.09,23,0.79,atenção,2025-09-25
SOA0910,Salvador-Boca_do_Rio-apartamento-TOP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Boca do Rio",0,160,2627.14,12,3677.87,2025-09,0.5667,0.6822,17,30,195.67,198.0,23,0.71,atenção,2025-09-25
SPT0103,Blumenau-Central-apartamento-JR-1Q,Carteira 4,SC,"Blumenau, SC","Blumenau, SC, Itoupava Seca",0,532,1035.76,35,1512.11,2025-09,0.4333,0.4968,13,30,492.8,246.95,19,0.68,atenção,2025-09-25
TBS1105,Florianopolis-Novo_Campeche-apartamento-MASTER-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",2,815,5354.6,46,4794.96,2025-09,0.8214,0.5428,23,30,307.0,297.57,7,1.12,ok,2025-09-25
VEC112,Bombinhas-Centro-apartamento-SUP-1Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Centro",0,979,2275.9,24,1842.16,2025-09,0.9,0.4307,27,30,160.85,123.89,9,1.24,ok,2025-09-25
VIC0203,Florianopolis-Novo_Campeche-apartamento-TOP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",1,670,4662.75,41,5210.29,2025-09,0.7241,0.5315,21,30,350.14,294.75,8,0.89,berlinda,2025-09-25
VLE006,Bombinhas-Mariscal-apartamento-JR-2Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Mariscal",0,1433,0.0,24,1614.62,2025-09,0.0,0.3106,0,30,,198.0,29,0.0,crítico,2025-09-25
BTI003,Ubatuba-Praia_Grande-apartamento-SIM-2Q,Carteira 4,SP,"Ubatuba, SP","Ubatuba, SP, Praia Grande",0,573,2357.83,32,1246.25,2025-09,0.9,0.2701,27,30,174.58,153.56,9,1.89,ok,2025-09-25
CET1702,Balneario_Camboriu-Centro-apartamento-TOP-3Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",1,1047,8666.16,43,3124.13,2025-09,0.8276,0.4125,24,30,435.32,306.67,6,2.77,meta_subestimada,2025-09-25
CNA007,Especial-CNA-casa-MASTER-1Q,Especial,SP,"Campos do Jordão, SP","Campos do Jordão, SP, Jardim Europa",3,955,12397.76,25,9346.12,2025-09,0.6667,0.5516,18,30,652.63,702.78,23,1.33,ok,2025-09-25
EHI0802,Itajai-Praia_Brava-apartamento-MASTER-2Q,Carteira 6,SC,"Itajaí, SC","Itajaí, SC, Praia Brava",0,94,6440.58,12,4463.6,2025-09,0.8667,0.6942,26,30,340.71,324.47,17,1.44,ok,2025-09-25
FLT0002,Florianopolis-Centrao-apartamento-SIM-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",1,150,1326.6,14,841.46,2025-09,0.6552,0.3931,19,30,118.93,92.0,2,1.58,ok,2025-09-25
IDA101,Florianopolis-Ingleses_Norte-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,621,3933.34,39,2314.39,2025-09,0.9333,0.4179,28,30,264.71,209.06,17,1.7,ok,2025-09-25
ILC2414,Especial-ILC-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,1181,5065.73,17,5034.14,2025-09,0.4667,0.5746,14,30,500.31,403.5,8,1.01,berlinda,2025-09-25
MBI022,Pocos_de_Caldas-Geral-apartamento-SUP-3Q,Carteira 4,MG,"Poços de Caldas, MG","Poços de Caldas, MG, Jardim Bandeirantes",0,703,1640.3,11,1474.47,2025-09,0.3333,0.3412,10,30,255.0,219.4,25,1.11,ok,2025-09-25
NWT1005,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,138,6202.85,33,4282.3,2025-09,0.9333,0.6542,28,30,294.81,348.67,9,1.45,ok,2025-09-25
NWT1423,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",1,224,5567.03,33,4282.3,2025-09,0.8966,0.6542,26,30,296.44,280.23,13,1.3,ok,2025-09-25
ONX1410,Goiania-Central-apartamento-JR-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",0,418,3223.75,73,2660.5,2025-09,1.0,0.617,30,30,181.62,171.0,9,1.21,ok,2025-09-25
PMN0901,Porto_Alegre-Jardim_Lindoia-apartamento-SUP-2Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Passo d Areia",6,105,2420.24,12,5311.51,2025-09,0.3333,0.8215,8,30,353.0,351.0,23,0.46,crítico,2025-09-25
PSO0904,Penha-Beto_Carrero-apartamento-SUP-1Q,Carteira 3,SC,"Penha, SC","Penha, SC, Praia de Armação do Itapocoroi",0,66,3479.59,11,1518.27,2025-09,0.9667,0.5812,29,30,233.86,140.67,3,2.29,meta_subestimada,2025-09-25
PZO0905,Ilheus-Sul-apartamento-TOP-2Q,Carteira 2,BA,"Ilhéus, BA","Ilhéus, BA, Nossa Senhora da Vitória",0,25,2789.56,18,1957.94,2025-09,0.5667,0.4811,17,30,,225.41,29,1.42,ok,2025-09-25
RCS701,Porto_Belo-Geral-apartamento-SUP-3Q,Carteira 6,SC,"Porto Belo, SC","Porto Belo, SC, Balneário Perequê",5,507,3362.96,22,2379.6,2025-09,0.8,0.3505,20,30,249.55,163.2,5,1.41,ok,2025-09-25
