listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,atingimento_meta,grupo_criticidade,falta_meta,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,prioridade,status_operacional
PDC301,Ilheus-Sul-apartamento-JR-2Q,Carteira 2,BA,"Ilhéus, BA","Ilhéus, BA, São Francisco",1,705,1651.63,23,1946.5,2025-09,0.5862,0.342,17,30,126.5,133.48,27,0.85,berlinda,294.8699999999999,3.0,5255.59,3764.271352,6.740174261494989,45.195729537366546,Baixa,🟢 Abaixo viável
VIG0011,Florianopolis-Jurere_Tradicional-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,319,3167.71,25,3872.56,2025-09,0.7667,0.4634,23,30,192.05,226.7,10,0.82,berlinda,704.8499999999999,4.0,5434.71,4905.8189,10.315495111760695,65.12455516014235,Média,🟢 Abaixo viável
CNB005,Especial-CNB-casa-TOP-1Q,Especial,SP,"Campos do Jordão, SP","Campos do Jordão, SP, Jardim Europa",1,535,6944.29,14,6686.31,2025-09,0.4828,0.6578,14,30,,581.45,29,1.04,berlinda,-257.97999999999956,-0.0,23806.340000000004,15085.28774,-22.43426807910488,2.491103202846975,Baixa,🟢 Acima com folga
ILC3208,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,1397,6126.07,27,7048.76,2025-09,0.7,0.8433,21,30,519.88,611.11,9,0.87,berlinda,922.6900000000005,2.0,11626.06,9976.063,39.99746663952243,98.22064056939502,Crítica,🟢 Abaixo viável
JPR212,Florianopolis-Jurere_Tradicional-apartamento-MASTER-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,1217,4676.94,15,5596.19,2025-09,0.6,0.516,18,30,324.54,264.6,5,0.84,berlinda,919.25,4.0,5999.94,5470.74,10.86603340844396,68.50533807829181,Média,🟠 Abaixo precisa esforço
MPL0215,Brasilia-Asa_Norte-apartamento-SUP-1Q,Carteira 1,DF,"Brasília, DF","Brasília, DF, Asa Norte",1,208,3057.47,98,3478.4,2025-09,0.7241,0.7543,21,30,,173.59,29,0.88,berlinda,420.9300000000003,3.0,8091.58,6702.669051,7.002188621205157,47.330960854092524,Baixa,🟢 Abaixo viável
NLUH0008,São_Miguel_dos_Milagres-Geral-casa-TOP-3Q,Carteira 2,AL,"Passo de Camaragibe, AL","Passo de Camaragibe, AL, Praia do Marceneiro",7,327,8236.77,18,9487.24,2025-09,0.6957,0.6028,16,30,705.84,591.0,4,0.87,berlinda,1250.4699999999993,3.0,10600.77,9881.4048,25.965674948667882,94.48398576512456,Crítica,🟢 Abaixo viável
RFM0021,Santa_Cruz_Cabralia-Coroa_Vermelha-apartamento-SUP-2Q,Carteira 2,BA,"Santa Cruz Cabrália, BA","Santa Cruz Cabrália, BA, Coroa Vermelha",1,376,2170.74,28,2699.67,2025-09,0.5862,0.6556,17,30,209.5,205.63,27,0.8,berlinda,528.9300000000003,3.0,7722.75,5425.328262,13.429280356488022,79.00355871886121,Média,🟢 Abaixo viável
SPJ0403,Especial-SPJ-apartamento-TOP-1Q,Carteira 5,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",1,455,3183.74,15,3792.7,2025-09,0.8621,0.5025,25,30,206.77,276.0,9,0.84,berlinda,608.96,3.0,5667.74,5325.1964,14.771619163129168,81.49466192170819,Crítica,🟢 Abaixo viável
ELF0403,Bombinhas-Bombas-apartamento-SUP-1Q,Especial,SC,"Bombinhas, SC","Bombinhas, SC, José Amândio",1,124,1387.24,22,1500.51,2025-09,0.2759,0.2446,8,30,228.0,236.77,26,0.92,berlinda,113.26999999999998,1.0,7543.26,3085.685918,17.87321504021966,87.18861209964413,Crítica,🟢 Abaixo viável
